Year,Quarter,Month,Day,state,Sum of Year,Sum of population_40plus_000
2019,Qtr 1,January,1,Johor,2019,1241.2
2019,Qtr 1,January,1,Kedah,2019,721
2019,Qtr 1,January,1,Kelantan,2019,524.0999999999999
2019,Qtr 1,January,1,Melaka,2019,305.5
2019,Qtr 1,January,1,Negeri Sembilan,2019,372.40000000000003
2019,Qtr 1,January,1,Pahang,2019,502.5
2019,Qtr 1,January,1,Perak,2019,918.8
2019,Qtr 1,January,1,Perlis,2019,83.3
2019,Qtr 1,January,1,Pulau Pinang,2019,653.2
2019,Qtr 1,January,1,Sabah,2019,911.1999999999999
2019,Qtr 1,January,1,Sarawak,2019,921.6000000000001
2019,Qtr 1,January,1,Selangor,2019,1997.2999999999997
2019,Qtr 1,January,1,Terengganu,2019,334.40000000000003
2019,Qtr 1,January,1,W.P. Kuala Lumpur,2019,641.9
2019,Qtr 1,January,1,W.P. Labuan,2019,27.400000000000006
2019,Qtr 1,January,1,W.P. Putrajaya,2019,22.90000000000001
2020,Qtr 1,January,1,Johor,2020,1297.4
2020,Qtr 1,January,1,Kedah,2020,701.1999999999999
2020,Qtr 1,January,1,Kelantan,2020,520.9
2020,Qtr 1,January,1,Melaka,2020,309.8
2020,Qtr 1,January,1,Negeri Sembilan,2020,382.99999999999994
2020,Qtr 1,January,1,Pahang,2020,495.30000000000007
2020,Qtr 1,January,1,Perak,2020,905.4
2020,Qtr 1,January,1,Perlis,2020,97.4
2020,Qtr 1,January,1,Pulau Pinang,2020,624.4000000000001
2020,Qtr 1,January,1,Sabah,2020,857.8000000000001
2020,Qtr 1,January,1,Sarawak,2020,867.9
2020,Qtr 1,January,1,Selangor,2020,2312.5
2020,Qtr 1,January,1,Terengganu,2020,331.20000000000005
2020,Qtr 1,January,1,W.P. Kuala Lumpur,2020,676.3000000000001
2020,Qtr 1,January,1,W.P. Labuan,2020,24.9
2020,Qtr 1,January,1,W.P. Putrajaya,2020,22.2
2021,Qtr 1,January,1,Johor,2021,1328.0000000000002
2021,Qtr 1,January,1,Kedah,2021,717.0000000000001
2021,Qtr 1,January,1,Kelantan,2021,528.7
2021,Qtr 1,January,1,Melaka,2021,316.4
2021,Qtr 1,January,1,Negeri Sembilan,2021,392.7
2021,Qtr 1,January,1,Pahang,2021,510.3
2021,Qtr 1,January,1,Perak,2021,923.5
2021,Qtr 1,January,1,Perlis,2021,99.1
2021,Qtr 1,January,1,Pulau Pinang,2021,638.3000000000001
2021,Qtr 1,January,1,Sabah,2021,878.7999999999998
2021,Qtr 1,January,1,Sarawak,2021,884.8000000000001
2021,Qtr 1,January,1,Selangor,2021,2395.4
2021,Qtr 1,January,1,Terengganu,2021,341.6
2021,Qtr 1,January,1,W.P. Kuala Lumpur,2021,695.9
2021,Qtr 1,January,1,W.P. Labuan,2021,26
2021,Qtr 1,January,1,W.P. Putrajaya,2021,26.200000000000003
2022,Qtr 1,January,1,Johor,2022,1356.3000000000002
2022,Qtr 1,January,1,Kedah,2022,723.4000000000001
2022,Qtr 1,January,1,Kelantan,2022,534.3
2022,Qtr 1,January,1,Melaka,2022,322
2022,Qtr 1,January,1,Negeri Sembilan,2022,400.40000000000003
2022,Qtr 1,January,1,Pahang,2022,524.8
2022,Qtr 1,January,1,Perak,2022,932.4
2022,Qtr 1,January,1,Perlis,2022,100.6
2022,Qtr 1,January,1,Pulau Pinang,2022,651.4
2022,Qtr 1,January,1,Sabah,2022,904.3
2022,Qtr 1,January,1,Sarawak,2022,900.7
2022,Qtr 1,January,1,Selangor,2022,2481.0000000000005
2022,Qtr 1,January,1,Terengganu,2022,349
2022,Qtr 1,January,1,W.P. Kuala Lumpur,2022,724.4999999999999
2022,Qtr 1,January,1,W.P. Labuan,2022,27.5
2022,Qtr 1,January,1,W.P. Putrajaya,2022,29.6
2023,Qtr 1,January,1,Johor,2023,1405.9999999999995
2023,Qtr 1,January,1,Kedah,2023,735.3
2023,Qtr 1,January,1,Kelantan,2023,544.2
2023,Qtr 1,January,1,Melaka,2023,330.5
2023,Qtr 1,January,1,Negeri Sembilan,2023,410.30000000000007
2023,Qtr 1,January,1,Pahang,2023,540.3000000000001
2023,Qtr 1,January,1,Perak,2023,948.3000000000001
2023,Qtr 1,January,1,Perlis,2023,102.30000000000001
2023,Qtr 1,January,1,Pulau Pinang,2023,670.6999999999999
2023,Qtr 1,January,1,Sabah,2023,962.3999999999999
2023,Qtr 1,January,1,Sarawak,2023,920.1
2023,Qtr 1,January,1,Selangor,2023,2601.1
2023,Qtr 1,January,1,Terengganu,2023,359
2023,Qtr 1,January,1,W.P. Kuala Lumpur,2023,764.3
2023,Qtr 1,January,1,W.P. Labuan,2023,29.400000000000002
2023,Qtr 1,January,1,W.P. Putrajaya,2023,32.9
2024,Qtr 1,January,1,Johor,2024,1456.9999999999998
2024,Qtr 1,January,1,Kedah,2024,749
2024,Qtr 1,January,1,Kelantan,2024,556.5999999999999
2024,Qtr 1,January,1,Melaka,2024,339.6
2024,Qtr 1,January,1,Negeri Sembilan,2024,421.90000000000003
2024,Qtr 1,January,1,Pahang,2024,558
2024,Qtr 1,January,1,Perak,2024,966.8000000000001
2024,Qtr 1,January,1,Perlis,2024,104.6
2024,Qtr 1,January,1,Pulau Pinang,2024,690.6
2024,Qtr 1,January,1,Sabah,2024,1015.8
2024,Qtr 1,January,1,Sarawak,2024,939.0000000000001
2024,Qtr 1,January,1,Selangor,2024,2725
2024,Qtr 1,January,1,Terengganu,2024,370.19999999999993
2024,Qtr 1,January,1,W.P. Kuala Lumpur,2024,809.6999999999998
2024,Qtr 1,January,1,W.P. Labuan,2024,30.999999999999996
2024,Qtr 1,January,1,W.P. Putrajaya,2024,36.4
2025,Qtr 1,January,1,Johor,2025,1492.5
2025,Qtr 1,January,1,Kedah,2025,760.5
2025,Qtr 1,January,1,Kelantan,2025,572
2025,Qtr 1,January,1,Melaka,2025,350.7
2025,Qtr 1,January,1,Negeri Sembilan,2025,439.3
2025,Qtr 1,January,1,Pahang,2025,578.6
2025,Qtr 1,January,1,Perak,2025,988.3
2025,Qtr 1,January,1,Perlis,2025,107.69999999999999
2025,Qtr 1,January,1,Pulau Pinang,2025,706.7000000000002
2025,Qtr 1,January,1,Sabah,2025,1048.2
2025,Qtr 1,January,1,Sarawak,2025,964.9999999999999
2025,Qtr 1,January,1,Selangor,2025,2829.2
2025,Qtr 1,January,1,Terengganu,2025,382.7
2025,Qtr 1,January,1,W.P. Kuala Lumpur,2025,849.5
2025,Qtr 1,January,1,W.P. Labuan,2025,32.7
2025,Qtr 1,January,1,W.P. Putrajaya,2025,39.5
